province,EFFIS_area,ground_area,overlapped_area,total_area,effis_percent,ground_percent,overlap_percent
CATANZARO,664.2788392938952,291.39684764279974,95.81613006357853,1051.4918170002736,63.17489385594737,27.71270712064171,9.112399023410907
COSENZA,2101.002778873232,1161.5474561981343,1930.5425462672927,5193.092781338659,40.45763993324306,22.36716163385616,37.17519843290078
CROTONE,708.4362696429139,389.9790028206524,451.0361827165175,1549.4514551800837,45.72174670426035,25.168842916432478,29.10941037930718
REGGIO DI CALABRIA,8312.153303725408,1184.5776071599728,2616.3413177300986,12113.07222861548,68.62134681314853,9.779332483146346,21.59932070370512
VIBO VALENTIA,723.6491310928634,278.00892184988044,160.63399678814937,1162.2920497308933,62.26052490511405,23.919024647398057,13.820450447487886
